author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Mikhail Uger;realtor;https://www.cian.ru/sale/flat/304113525/;Химки};sale;flat;17;25;1;36.8;9900000;Чертаново Северное;Северное Чертаново мкр;7кБ;Чертановская;
СК10;developer;https://rostov.cian.ru/sale/flat/305717857/;Химки};sale;flat;21;25;1;37.39;5565839;Кировский;;;;Культура ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307505747/;Химки};sale;flat;10;12;1;55.0;32500000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
ТСН Владис;real_estate_agent;https://balashikha.cian.ru/sale/flat/303023571/;Химки};sale;flat;4;5;1;30.3;3899000;;шоссе Энтузиастов;57;Салтыковская;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298036735/;Химки};sale;flat;4;24;1;40.4;10036000;Центр; Большакова;66;Геологическая;RedRock
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/307494611/;Химки};sale;flat;2;44;1;48.1;25000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Квадратный метр;real_estate_agent;https://spb.cian.ru/sale/flat/308648893/;Химки};sale;flat;21;26;1;35.3;8500000;Невский; Дыбенко;5к1;Улица Дыбенко;Цивилизация
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298038407/;Химки};sale;flat;2;16;1;55.9;21462000;Центр; Февральской Революции;21;Динамо;19/05
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/306373900/;Химки};sale;flat;13;30;1;93.8;28999999;Щукино;проезд 4-й Красногорский;;Стрешнево;Moments
Center Group;real_estate_agent;https://kazan.cian.ru/sale/flat/308328363/;Химки};sale;flat;4;10;1;48.0;9200000;Советский; Зур Урам;1Кк3;Горки;МЧС
Садовое кольцо;developer;https://kazan.cian.ru/sale/flat/308626955/;Химки};sale;flat;10;24;1;45.8;15809922;Ново-Савиновский;;;Козья слобода;Савин Фемили ЖК
Доступный дом;real_estate_agent;https://www.cian.ru/sale/flat/293926786/;Химки};sale;flat;3;17;1;35.4;14990000;; Эдварда Грига;15;Потапово;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304572948/;Химки};sale;flat;3;14;1;39.0;9300000;Ново-Переделкино; Шолохова;2;Новопеределкино;
